نام گمرک جدید,lat,long
99000,33.494172,52.248812
اراک,34.0873496,49.7022387
اردبیل,38.2431757,48.2976116
ارزیابی گمرک اصفهان درکاشان,33.9910347,51.4235414
ارومیه,37.5498061,45.0786282
اصفهان,32.6538966,51.6659656
البرز(فرودگاه پیام),35.7657375,50.8346451
اهواز,31.3183272,48.6706187
اینچه برون,37.4550219,54.7193651
باجگیران,37.6210542,58.4186358
بازارچه کوهک - سراوان,27.1403478,63.3179845
بازارچه کیله سردشت,36.1858445,45.3217616
بازرگان,39.4269224,44.3462602
باشماق,35.6075315,46.0359102
بجنورد,37.4744863,57.3233079
بناب,37.3384874,46.0538721
بندر آبادان,30.330819,48.282033
بندر اروند کنار,30.0613683,48.4535335
بندر آستارا,38.4048437,48.8752465
بندر امام خمینی (ره),30.4381875,49.1075625
بندر امیر آباد,36.8482918,53.3707328
بندر انزلی,37.4553933,49.6657898
بندر بوشهر,28.9311851,50.9393438
بندر چابهار,25.2927156,60.6496102
بندر چوئبده,30.2022868,48.5515004
بندر خرمشهر,30.3905578,48.2131955
بندر دیلم,30.0550403,50.1649408
بندر ریگ,29.480339,50.628998
بندر ریگ,29.486877,50.630783
بندر سیریک,26.516458,57.101774
بندر شهید باهنر,27.1534375,56.2041406
بندر شهید رجایی,27.105147,56.050349
بندر فریدون کنار,36.6867275,52.5328184
بندر کنگان,27.84614,52.062896
بندر گناوه,29.5808374,50.51721
بندر لنگه,26.5671553,54.8935305
بندر ماهشهر,30.5549969,49.187884
بندر نوشهر,36.649364,51.4887307
بیرجند,32.8733165,59.2162938
بیله سوار,39.3796798,48.3538941
پرویزخان,34.5529625,45.5889844
پلدشت,39.3438365,45.0720009
پیشین,26.0792121,61.7492905
تبریز,38.0791831,46.2886732
تمرچین پیرانشهر,36.6599024,45.0957002
تهران,35.7218583,51.3346954
تهران امور واردات,35.7218583,51.3346954
جاجرم,36.9517199,56.3735904
جلفا,38.9307372,45.6288675
جلفا,38.9311759,45.6370873
چذابه - مرزبستان,31.8538125,47.8035156
حوزه 3 امانات پستی,35.6087104,51.3682227
حوزه تجاری فرودگاه امام خمینی,35.4095233,51.155501
خارک,29.2336691,50.3252941
خرم آباد,33.4646833,48.3389644
خسروی,34.3905561,45.4739423
خوی,38.545452,44.9590281
دوغارون,34.7166875,60.9901875
دوغارون,34.7383142,60.8775803
ذوب آهن اصفهان,32.6538966,51.6659656
رازی,38.4647812,44.6309165
ریمدان,25.3772265,61.6551692
ریمدان,25.4003415,61.4508435
زاهدان,29.4893049,60.8639982
زنجان,36.6830045,48.5087209
ساری,36.5658729,53.0586328
ساوه,35.0239828,50.3549474
سجافی,30.0720376,49.5432745
سرخس,36.4375073,61.0646032
سرخس,36.5372242,61.1560959
سرو,37.7244067,44.6521605
سمنان,35.5767039,53.3949167
سنندج,35.3118606,46.9963942
سهلان,38.1756471,46.1315619
سیرجان,29.4457241,55.6809021
شلمچه,30.5126378,48.0289953
شهرکرد,32.3274483,50.8649748
شیراز,29.5926119,52.5835646
غرب تهران,35.7822366,51.374808
فرودگاه اصفهان,32.7462513,51.8763907
فرودگاه امام خمینی (ره),35.4095233,51.155501
فرودگاه شیراز,29.5458823,52.5901076
فرودگاه لار,27.6699668,54.3827745
فرودگاه لامرد,27.3685448,53.1947876
فولاد مبارکه اصفهان,32.6538966,51.6659656
قزوین,36.2795045,50.0045669
قشم,26.9546731,56.2679749
قم,34.6415764,50.8746035
کاشان,33.9910347,51.4235414
کد گمرک 60801,52.4048996,16.8933082
کرمان,30.2839379,57.0833628
کرمانشاه,34.3276924,47.0777685
کیش,26.5324775,53.9867949
گمرک متمرکز,33.494172,52.248812
لطف آباد,37.5178671,59.3406466
ماهیرود,32.1899324,60.6978359
مجتمع فولاد مبارکه,32.2437625,51.4265156
مراغه,37.389162,46.2376099
مشهد,36.2972006,59.60669
معاونت واردات و ترانزیت تهران,35.7153345,51.4111984
ملایر,34.3031914,48.8139903
منطقه آزاد شهر فرودگاهی امام خمینی (ره),35.4095233,51.155501
منطقه ویژه اقتصادی انرژی بر پارسیان,27.2091712,53.0409488
منطقه ویژه اقتصادی بجنورد,37.4699295,57.2358101
منطقه ویژه اقتصادی بم,29.010036,58.4678764
منطقه ویژه اقتصادی بیرجند,32.9478312,59.3805787
منطقه ویژه اقتصادی پارس,27.5139054,52.5758902
منطقه ویژه اقتصادی پیام,35.7587137,50.8563023
منطقه ویژه اقتصادی جهرم,28.7467947,53.434115
منطقه ویژه اقتصادی خلیج فارس,26.7505337,51.6834275
منطقه ویژه اقتصادی رفسنجان,30.3123747,56.219446
منطقه ویژه اقتصادی زرندیه,35.3582683,50.4308159
منطقه ویژه اقتصادی سلفچگان,34.4491043,50.4609776
منطقه ویژه اقتصادی سهلان,38.1977735,46.107198
منطقه ویژه اقتصادی سیرجان,29.5175409,55.630108
منطقه ویژه اقتصادی شیراز,29.4570426,52.5798943
منطقه ویژه اقتصادی کاوه,35.1055676,50.3810214
منطقه ویژه اقتصادی گرمسار,35.2224595,52.2425108
منطقه ویژه اقتصادی لامرد,27.3788163,53.2304367
منطقه ویژه اقتصادی لرستان,33.5818394,48.3988186
منطقه ویژه اقتصادی یزد,31.9111489,54.235992
منطقه ویژه اقصادی ارگ جدید بم,29.0202163,58.4572907
مهاباد,36.7650687,45.721795
مهران,33.1209355,46.1642014
میرجاوه,29.0148502,61.4514016
میلک,30.9608375,61.8122843
