نام گمرک جدید,Sum of ton
اراک,603255.4979999999
اردبیل,42525.48099999999
ارومیه,248350.58500000014
اصفهان,1063206.611
اهواز,23939.702
اینچه برون,366955.1239999999
باجگیران,1038.5890000000002
بازارچه کوهک - سراوان,4822.272
بازرگان,11048559.649999991
باشماق,6567.383000000002
بناب,90792.33999999998
بندر آبادان,110804.52800000005
بندر اروند کنار,4544.896999999999
بندر آستارا,1085142.2060000005
بندر امام خمینی (ره),20003127.120000005
بندر امیر آباد,2525856.3280000007
بندر انزلی,1444405.7610000006
بندر بوشهر,4909636.725000001
بندر چابهار,2373204.1739999996
بندر چوئبده,3311.2749999999996
بندر خرمشهر,403392.979
بندر دیلم,70.68799999999999
بندر ریگ,80.76299999999999
بندر شهید باهنر,1231578.2510000002
بندر شهید رجایی,27366969.78399999
بندر فریدون کنار,74615.705
بندر گناوه,28040.391000000025
بندر لنگه,2823939.7870000014
بندر نوشهر,490436.53299999976
بیله سوار,154602.0380000001
پرویزخان,2718.2
پلدشت,6573.301999999998
پیشین,35322.864
تبریز,567600.0879999994
تمرچین پیرانشهر,2019.0469999999993
تهران,301634.1440000003
جلفا,424355.78500000027
خرم آباد,22167.443
خسروی,77.562
خوی,44368.059999999976
دوغارون,492849.62500000093
ذوب آهن اصفهان,57467.791
ریمدان,5532.613000000001
زاهدان,813143.7129999996
زنجان,425962.2799999999
ساری,52894.02899999998
سجافی,1.455
سرخس,325219.907
سرو,13411.446000000002
سمنان,142252.07400000002
سنندج,10641.056000000002
شلمچه,50
شهرکرد,79708.625
غرب تهران,535196.404
فرودگاه اصفهان,79.44100000000002
فرودگاه امام خمینی (ره),27784.64000000003
فرودگاه شیراز,3651.38
فرودگاه لار,9209.187000000002
فولاد مبارکه اصفهان,95347.87399999997
قزوین,636279.6000000001
قشم,172253.759
قم,197567.845
کاشان,108445.38500000004
کرمان,67721.432
کرمانشاه,112900.96800000004
کیش,4381.548000000001
لطف آباد,171021.695
ماهیرود,669492.5150000001
مراغه,21549.526000000005
مشهد,1007924.7050000003
ملایر,17734.335
منطقه آزاد شهر فرودگاهی امام خمینی (ره),971.3320000000002
منطقه ویژه اقتصادی بجنورد,133025.756
منطقه ویژه اقتصادی بم,209692.25599999988
منطقه ویژه اقتصادی بیرجند,160775.68399999998
منطقه ویژه اقتصادی پارس,19998922.694000002
منطقه ویژه اقتصادی پیام,182529.32
منطقه ویژه اقتصادی خلیج فارس,3861626.132
منطقه ویژه اقتصادی رفسنجان,72687.733
منطقه ویژه اقتصادی زرندیه,99787.451
منطقه ویژه اقتصادی سلفچگان,66178.336
منطقه ویژه اقتصادی سهلان,454631.92500000005
منطقه ویژه اقتصادی سیرجان,73484.215
منطقه ویژه اقتصادی شیراز,297106.627
منطقه ویژه اقتصادی کاوه,469379.3049999997
منطقه ویژه اقتصادی گرمسار,57929.431
منطقه ویژه اقتصادی لامرد,188053.978
منطقه ویژه اقتصادی لرستان,11075.883
منطقه ویژه اقتصادی یزد,140254.94000000003
مهاباد,22230.809999999998
مهران,18932.899
میرجاوه,233800.83000000002
میلک,37462.41300000001
نوردوز,1048924.029999999
همدان,15299.592999999993
یاسوج,77345.027
یزد,745043.4780000002
